timestamp,region,temperature_c,humidity_pct,wind_speed_ms,hdd_f,cdd_f,temp_rolling_24h_c,temp_delta_24h_c,source
2025-05-01T00:00:00+00:00,us-east,24.444444444444443,48.19449511753684,1.543332,0.0,11.0,24.444444444444443,0.0,iem_asos_metar
2025-05-01T01:00:00+00:00,us-east,22.22222222222222,51.230061868490715,2.057776,0.0,7.0,23.333333333333332,-2.2222222222222214,iem_asos_metar
2025-05-01T02:00:00+00:00,us-east,20.555555555555557,56.733975103469014,2.057776,0.0,4.0,22.40740740740741,-3.8888888888888857,iem_asos_metar
2025-05-01T03:00:00+00:00,us-east,20.0,58.713876828715094,3.086664,0.0,3.0,21.805555555555557,-4.444444444444443,iem_asos_metar
2025-05-01T04:00:00+00:00,us-east,20.0,50.64006522604256,2.57222,0.0,3.0,21.444444444444446,-4.444444444444443,iem_asos_metar
2025-05-01T05:00:00+00:00,us-east,18.88888888888889,62.91082413712106,2.57222,0.0,1.0,21.01851851851852,-5.555555555555554,iem_asos_metar
2025-05-01T06:00:00+00:00,us-east,17.77777777777778,65.01432511304579,1.543332,1.0,0.0,20.555555555555554,-6.666666666666664,iem_asos_metar
2025-05-01T07:00:00+00:00,us-east,17.22222222222222,64.8932674702881,3.086664,2.0,0.0,20.13888888888889,-7.222222222222221,iem_asos_metar
2025-05-01T08:00:00+00:00,us-east,16.666666666666668,60.11445445612038,3.086664,3.0,0.0,19.753086419753085,-7.777777777777775,iem_asos_metar
2025-05-01T09:00:00+00:00,us-east,16.11111111111111,64.64946889443928,4.115552,4.0,0.0,19.38888888888889,-8.333333333333332,iem_asos_metar
2025-05-01T10:00:00+00:00,us-east,16.666666666666668,64.77164967117305,3.086664,3.0,0.0,19.141414141414142,-7.777777777777775,iem_asos_metar
2025-05-01T11:00:00+00:00,us-east,17.22222222222222,69.85253815285286,4.115552,2.0,0.0,18.98148148148148,-7.222222222222221,iem_asos_metar
2025-05-01T12:00:00+00:00,us-east,19.444444444444443,66.57165993072677,3.086664,0.0,2.0,19.017094017094017,-5.0,iem_asos_metar
